"port_authority","facility","company","cargo_mt","company_clean","port_authority_short","province","iso2"
"Mersin Bölge Liman Başkanlığı","MIP Mersin Limanı","ATEŞ SÖNMEZ KİMYA SANAYİ VE TİCARET AŞ.",2618,"ATES SONMEZ KIMYA SANAYI VE TICARET AS","Mersin","Mersin","TR-33"
"Mersin Bölge Liman Başkanlığı","MIP Mersin Limanı","TAT KİMYA SANAYİ VE TİCARET AŞ.",2330,"TAT KIMYA SANAYI VE TICARET AS","Mersin","Mersin","TR-33"
"Mersin Bölge Liman Başkanlığı","MIP Mersin Limanı","ÖZMİROĞLU PAMUK YAĞ SANAYİ VE TİC. AŞ.",1989,"OZMIROGLU PAMUK YAG SANAYI VE TIC AS","Mersin","Mersin","TR-33"
"Mersin Bölge Liman Başkanlığı","MIP Mersin Limanı","ELMAS FOR DEVELOPMENT COMPANY GIDA AŞ.",1043,"ELMAS FOR DEVELOPMENT COMPANY GIDA AS","Mersin","Mersin","TR-33"
"Mersin Bölge Liman Başkanlığı","MIP Mersin Limanı","ALAZAYIM GIDA PAKETLEME DOLUM",250,"ALAZAYIM GIDA PAKETLEME DOLUM","Mersin","Mersin","TR-33"
"Mersin Bölge Liman Başkanlığı","Savka Mersin Terminali","AVES ENERJİ YAĞ VE GIDA SANAYI AŞ.",448108,"AVES ENERJI YAG VE GIDA SANAYI AS","Mersin","Mersin","TR-33"
"Mersin Bölge Liman Başkanlığı","Mersin Serbest Bölge Rıhtımı","Toros Tarım Sanayi ve Ticaret A.Ş.",202192,"TOROS TARIM SANAYI VE TICARET A S","Mersin","Mersin","TR-33"
"Mersin Bölge Liman Başkanlığı","Mersin Serbest Bölge Rıhtımı","Kiraz Kimya San. Dış Tic. A.Ş. - - Hicri Ercili",82197,"KIRAZ KIMYA SAN DIS TIC A S HICRI ERCILI","Mersin","Mersin","TR-33"
"Samsun Bölge Liman Başkanlığı","Toros Tarım Samsun Limanı","Eti Bakır,Gübretaş Gübre Fabrikaları,Hexagon Group Ag, Hicri Ercili Dnz.Nak.Kimyevi MadSan.ve Tic.Ltd.Şti,Kimya Market San.Tic.Ltd.Şti,Meta Nikel Kobalt Madencilik Tic.A.Ş.,Trammo INC,Trammo DMCC,Trıcon Energy Ltd.",308993.91,"ETI BAKIR GUBRETAS GUBRE FABRIKALARI HEXAGON GROUP AG HICRI ERCILI DNZ NAK KIMYEVI MADSAN VE TIC LTD STI KIMYA MARKET SAN TIC LTD STI META NIKEL KOBALT MADENCILIK TIC A S TRAMMO INC TRAMMO DMCC TRICON ENERGY LTD","Samsun","Samsun","TR-55"
"Samsun Bölge Liman Başkanlığı","Toros Tarım Samsun Limanı","Toros Tarım San.Tic.A.Ş.& ETİ BAKIR A.Ş",163035.23,"TOROS TARIM SAN TIC A S ETI BAKIR A S","Samsun","Samsun","TR-55"
"Samsun Bölge Liman Başkanlığı","Toros Tarım Samsun Limanı","Toros Tarım Sanayi ve Ticaret A.Ş.",70551.3,"TOROS TARIM SANAYI VE TICARET A S","Samsun","Samsun","TR-55"
"Samsun Bölge Liman Başkanlığı","SADAŞ-Samsun Akryt. Terminali","Güzel Enerji AkaryakıtA.Ş, SHELL& TURCAS PETROL A.Ş",394471.47,"GUZEL ENERJI AKARYAKITA S SHELL TURCAS PETROL A S","Samsun","Samsun","TR-55"
"Samsun Bölge Liman Başkanlığı","Akpet Akaryakıt A.Ş","AKPET AKARYAKIT DAĞITIM A.Ş",196564,"AKPET AKARYAKIT DAGITIM A S","Samsun","Samsun","TR-55"
"Samsun Bölge Liman Başkanlığı","Aygaz A.Ş.","AYGAZ A.Ş.",136250.13,"AYGAZ A S","Samsun","Samsun","TR-55"
"Samsun Bölge Liman Başkanlığı","Samsun Alpet","TPPD A.Ş.",116747.732,"TPPD A S","Samsun","Samsun","TR-55"
"Samsun Bölge Liman Başkanlığı","Petrol Ofisi Samsun Terminali","Petrol Ofisi Samsun Terminali",105476.87,"PETROL OFISI SAMSUN TERMINALI","Samsun","Samsun","TR-55"
"Samsun Bölge Liman Başkanlığı","Eti Bakır A.Ş. Samsun","Hicri Ercili, Ameropa, Eti Maden, Gübretaş ve Eti Bakır Mardin Mazıdağı",77345.88,"HICRI ERCILI AMEROPA ETI MADEN GUBRETAS VE ETI BAKIR MARDIN MAZIDAGI","Samsun","Samsun","TR-55"
"Samsun Bölge Liman Başkanlığı","LİKİTGAZ SAMSUN DOLUM VE DEPOLAMA TERMİNALİ","LİKİTGAZ DAĞITIM VE ENDÜSTRİ A.Ş",49026.166,"LIKITGAZ DAGITIM VE ENDUSTRI A S","Samsun","Samsun","TR-55"
"Samsun Bölge Liman Başkanlığı","Etibakır İnebolu Liman Tesisi","Kastamonu Entegre A.Ş.",36867.052,"KASTAMONU ENTEGRE A S","Samsun","Samsun","TR-55"
"Samsun Bölge Liman Başkanlığı","O.B.B Ünye Liman Tesisleri","Çamsan A.Ş.",19131.2,"CAMSAN A S","Samsun","Samsun","TR-55"
"Samsun Bölge Liman Başkanlığı","Samsun Bestoil","Kaleli Bestoil Petrolcülük A.Ş.",4794.561,"KALELI BESTOIL PETROLCULUK A S","Samsun","Samsun","TR-55"
"Tekirdağ Bölge Liman Başkanlığı","BOTAŞ LNG M.EREĞLİSİ","BOTAŞ",4090407,"BOTAS","Tekirdağ","Tekirdağ","TR-59"
"Tekirdağ Bölge Liman Başkanlığı","BOTAŞ LNG M.EREĞLİSİ","İPRAGAZ AŞ",85481,"IPRAGAZ AS","Tekirdağ","Tekirdağ","TR-59"
"Tekirdağ Bölge Liman Başkanlığı","BOTAŞ LNG M.EREĞLİSİ","OMV Enerji Tic. AŞ",59911,"OMV ENERJI TIC AS","Tekirdağ","Tekirdağ","TR-59"
"Tekirdağ Bölge Liman Başkanlığı","BOTAŞ LNG M.EREĞLİSİ","AYGAZ Doğalgaz Toptan Satış AŞ",50451,"AYGAZ DOGALGAZ TOPTAN SATIS AS","Tekirdağ","Tekirdağ","TR-59"
"Tekirdağ Bölge Liman Başkanlığı","BOTAŞ LNG M.EREĞLİSİ","HABAŞ Sınai ve Tıbbi Gazlarİstihsal Endüstrisi AŞ",36055,"HABAS SINAI VE TIBBI GAZLARISTIHSAL ENDUSTRISI AS","Tekirdağ","Tekirdağ","TR-59"
"Tekirdağ Bölge Liman Başkanlığı","BOTAŞ LNG M.EREĞLİSİ","AKPET AKARYAKIT DAĞITIM A.Ş",22291,"AKPET AKARYAKIT DAGITIM A S","Tekirdağ","Tekirdağ","TR-59"
"Tekirdağ Bölge Liman Başkanlığı","BOTAŞ LNG M.EREĞLİSİ","OR-CN Doğalgaz Toptan Satış Dağıtım AŞ",21208,"OR CN DOGALGAZ TOPTAN SATIS DAGITIM AS","Tekirdağ","Tekirdağ","TR-59"
"Tekirdağ Bölge Liman Başkanlığı","BOTAŞ LNG M.EREĞLİSİ","ENERJİ Grup Sıvı D.Gaz LNG Akar.pet.Ür.Top.Sat.AŞ",8207,"ENERJI GRUP SIVI D GAZ LNG AKAR PET UR TOP SAT AS","Tekirdağ","Tekirdağ","TR-59"
"Tekirdağ Bölge Liman Başkanlığı","BOTAŞ LNG M.EREĞLİSİ","NATURELGAZ San. Ve Tic. AŞ",3689,"NATURELGAZ SAN VE TIC AS","Tekirdağ","Tekirdağ","TR-59"
"Tekirdağ Bölge Liman Başkanlığı","Opet Marmara Liman İşletmesi","Opet Petrolcülük AŞ",2276341,"OPET PETROLCULUK AS","Tekirdağ","Tekirdağ","TR-59"
"Tekirdağ Bölge Liman Başkanlığı","Opet Marmara Liman İşletmesi","Tüpraş",600220,"TUPRAS","Tekirdağ","Tekirdağ","TR-59"
"Tekirdağ Bölge Liman Başkanlığı","Opet Marmara Liman İşletmesi","Shell Turcas AŞ",345000,"SHELL TURCAS AS","Tekirdağ","Tekirdağ","TR-59"
"Tekirdağ Bölge Liman Başkanlığı","Opet Marmara Liman İşletmesi","Güzel Enerji",32924,"GUZEL ENERJI","Tekirdağ","Tekirdağ","TR-59"
"Tekirdağ Bölge Liman Başkanlığı","Opet Marmara Liman İşletmesi","BP",32924,"BP","Tekirdağ","Tekirdağ","TR-59"
"Tekirdağ Bölge Liman Başkanlığı","Marmara Depoculuk Hizmetleri A.Ş","Shell Turcas Petrol A.Ş.",998015,"SHELL TURCAS PETROL A S","Tekirdağ","Tekirdağ","TR-59"
"Tekirdağ Bölge Liman Başkanlığı","Marmara Depoculuk Hizmetleri A.Ş","Petrol Ofisi A.Ş.",880687,"PETROL OFISI A S","Tekirdağ","Tekirdağ","TR-59"
"Tekirdağ Bölge Liman Başkanlığı","CEYPORT TEKİRDAĞ","GÜBRE FABRİKALARI TÜR KAŞ",166335.79,"GUBRE FABRIKALARI TUR KAS","Tekirdağ","Tekirdağ","TR-59"
"Tekirdağ Bölge Liman Başkanlığı","CEYPORT TEKİRDAĞ","REKA BİTKİSEL YAĞLAR SAN. TİC. AŞ.",62725.31,"REKA BITKISEL YAGLAR SAN TIC AS","Tekirdağ","Tekirdağ","TR-59"
"Tekirdağ Bölge Liman Başkanlığı","CEYPORT TEKİRDAĞ","GEMLİK GÜBRE SANAYİ A.Ş.",41783.18,"GEMLIK GUBRE SANAYI A S","Tekirdağ","Tekirdağ","TR-59"
"Tekirdağ Bölge Liman Başkanlığı","CEYPORT TEKİRDAĞ","Toros Tarım Sanayi ve Ticaret A.Ş.",37636.43,"TOROS TARIM SANAYI VE TICARET A S","Tekirdağ","Tekirdağ","TR-59"
"Tekirdağ Bölge Liman Başkanlığı","CEYPORT TEKİRDAĞ","BUNGE GIDA SANAYİ VE TİCARET AŞ",30312.06,"BUNGE GIDA SANAYI VE TICARET AS","Tekirdağ","Tekirdağ","TR-59"
"Tekirdağ Bölge Liman Başkanlığı","CEYPORT TEKİRDAĞ","İSTANBUL GÜBRE SAN. AŞ",20406.58,"ISTANBUL GUBRE SAN AS","Tekirdağ","Tekirdağ","TR-59"
"Tekirdağ Bölge Liman Başkanlığı","CEYPORT TEKİRDAĞ","SAVOLA GIDA SAN. VE TİC. AŞ",8885.61,"SAVOLA GIDA SAN VE TIC AS","Tekirdağ","Tekirdağ","TR-59"
"Tekirdağ Bölge Liman Başkanlığı","CEYPORT TEKİRDAĞ","DIA BAKLİYAT AŞ.",6607,"DIA BAKLIYAT AS","Tekirdağ","Tekirdağ","TR-59"
"Tekirdağ Bölge Liman Başkanlığı","LIKIT PORT","LİKİT KİMYA SAN. VE TİC. AŞ.",245599,"LIKIT KIMYA SAN VE TIC AS","Tekirdağ","Tekirdağ","TR-59"
"Tekirdağ Bölge Liman Başkanlığı","Bütangaz A. Ş. Marmara Ereğlisi","İPRAGAZ AŞ",77603.269,"IPRAGAZ AS","Tekirdağ","Tekirdağ","TR-59"
"Tekirdağ Bölge Liman Başkanlığı","Bütangaz A. Ş. Marmara Ereğlisi","ASTOR HOLDİNG COMPANY",1497.3,"ASTOR HOLDING COMPANY","Tekirdağ","Tekirdağ","TR-59"
"Tekirdağ Bölge Liman Başkanlığı","Güzel Enerji Akaryakıt A.Ş. M.Ereğlisi LPG Tesisi","GÜZEL ENERJİ AKARYAKIT A.Ş",43416,"GUZEL ENERJI AKARYAKIT A S","Tekirdağ","Tekirdağ","TR-59"
"Tekirdağ Bölge Liman Başkanlığı","TOPRAK MAHSULLERİ OFİSİ      TEKİRDAĞ BAŞMÜDÜRLÜĞÜ İSKELESİ","TOPRAK MAHSULLERİ OFİSİ GENEL MÜDÜRLÜĞÜ TEKİRDAĞ BAŞMÜDÜRLÜĞÜ",16951,"TOPRAK MAHSULLERI OFISI GENEL MUDURLUGU TEKIRDAG BASMUDURLUGU","Tekirdağ","Tekirdağ","TR-59"
"Tekirdağ Bölge Liman Başkanlığı","ARGAZ AŞ M.EREĞLİSİ","GÜÇ GAZ Petrol Ürünleri AŞ",2196.19,"GUC GAZ PETROL URUNLERI AS","Tekirdağ","Tekirdağ","TR-59"
"Tekirdağ Bölge Liman Başkanlığı","ARGAZ AŞ M.EREĞLİSİ","YURTPET",1833.6,"YURTPET","Tekirdağ","Tekirdağ","TR-59"
"Tirebolu Liman Başkanlığı","Opet Giresun Terminali","Türkiye Petrol Rafineleri A.Ş",328269,"TURKIYE PETROL RAFINELERI A S","Tirebolu","Giresun","TR-28"
"Tirebolu Liman Başkanlığı","Opet Giresun Terminali","THY OPET Havacılık Yakıtları A.Ş",47350,"THY OPET HAVACILIK YAKITLARI A S","Tirebolu","Giresun","TR-28"
"Tirebolu Liman Başkanlığı","Karadeniz LPG Depolama ve Deniz Terminali Ticaret A.Ş","Gasrall LPG Petrol A.Ş",22549.17,"GASRALL LPG PETROL A S","Tirebolu","Giresun","TR-28"
"Tirebolu Liman Başkanlığı","Karadeniz LPG Depolama ve Deniz Terminali Ticaret A.Ş","Avgaz Enerji A.Ş",2494.16,"AVGAZ ENERJI A S","Tirebolu","Giresun","TR-28"
"Trabzon Bölge Liman Başkanlığı","PO Trabzon Terminali","Petrol Ofisi A.Ş.",439287,"PETROL OFISI A S","Trabzon","Trabzon","TR-61"
"Trabzon Bölge Liman Başkanlığı","opet giresun","türkiye petrolleri",328269,"TURKIYE PETROLLERI","Trabzon","Trabzon","TR-61"
"Trabzon Bölge Liman Başkanlığı","opet giresun","thy opet havacılık",47350,"THY OPET HAVACILIK","Trabzon","Trabzon","TR-61"
"Trabzon Bölge Liman Başkanlığı","Aytemiz Trabzon Terminali","Aytemiz Akaryakıt Dağıtım A.Ş.",52897,"AYTEMIZ AKARYAKIT DAGITIM A S","Trabzon","Trabzon","TR-61"
"Trabzon Bölge Liman Başkanlığı","iz lpg","Gasrall LPG Petrol A.Ş",22549,"GASRALL LPG PETROL A S","Trabzon","Trabzon","TR-61"
"Trabzon Bölge Liman Başkanlığı","iz lpg","avgaz enerji",2494,"AVGAZ ENERJI","Trabzon","Trabzon","TR-61"
"Trabzon Bölge Liman Başkanlığı","trabzonport","koptur",8620.7,"KOPTUR","Trabzon","Trabzon","TR-61"
"Trabzon Bölge Liman Başkanlığı","trabzonport","baysun",6848,"BAYSUN","Trabzon","Trabzon","TR-61"
"Trabzon Bölge Liman Başkanlığı","hopaport","mbt kimya",10013.65,"MBT KIMYA","Trabzon","Trabzon","TR-61"
"Trabzon Bölge Liman Başkanlığı","hopaport","ofis acay",2779.66,"OFIS ACAY","Trabzon","Trabzon","TR-61"
